filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
eu_calib_7cm.Spe,152EU,121.7817,498785.15529374866,3195.011537268747,0.2853,0.0016,0.07451279898441573,0.007979571211861172,25154149.4127419,2702490.32448121,10250.264634369152,1101.2593009295886,21.92265409455052,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,244.6974,80193.19323346834,395.42550241415285,0.0755,0.0004,0.0708081307839883,0.004559470779851874,16081856.824228637,1043608.525577516,6553.323889253723,425.2683478310986,1.9089331017972793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,251.633,609.9795792040712,109.7414033226884,0.00067,1.9e-05,0.06992109362842806,0.004529256925660767,13959216.616233192,2756978.8982615494,5688.352329353379,1123.4632837251627,1.9089331017972793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,271.08,852.7924618087598,90.82220849480541,0.0007149999999999999,1.9e-05,0.06739154021739634,0.004462445854725147,18974078.565571196,2517597.8611850897,7731.898355978483,1025.9159988529298,0.9911161567689494,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,295.9387,4257.915113825143,90.38375412241746,0.0044,4e-05,0.06416982960376963,0.004357262662184058,16167475.154571293,1185725.8109136599,6588.213184421879,483.1808520430562,0.8770781600290648,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,324.83,641.6590051737038,63.34719653504885,0.000681,1.9e-05,0.060572277405040814,0.004166182493945256,16676774.055931339,2162461.2532297825,6795.751449034776,881.1985546983628,0.9831832260104665,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,329.41,1054.885471981859,76.97977462525536,0.001213,2.3999999999999997e-05,0.060022369603078975,0.004129510933176801,15533171.571434654,1658350.7008947965,6329.735766680788,675.7745317419709,0.9831832260104665,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,344.2785,213989.6909719694,623.8208927643856,0.2659,0.002,0.05828042033011458,0.004001494402107475,14804052.092505947,1023927.8469431702,6032.62106459085,417.2485113867849,1.9552251783000307,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,367.7891,7079.929723459082,245.71899209433644,0.00859,6e-05,0.0556663664474424,0.0037810850624111878,15873462.652804127,1230397.608908625,6468.403688999237,501.3845187076712,5.594922451686748,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,411.1165,14660.742277691788,122.24866032110857,0.02237,0.00013,0.05129809483199712,0.003369442765913241,13696749.242696894,917359.674612808,5581.397409411938,373.8221982937278,0.874491798004417,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,416.02,573.3041031164116,60.726152931624746,0.001088,1.9e-05,0.050838785558067465,0.0033251443583831174,11111936.5487494,1471937.1712126723,4528.091503157865,599.8113982121729,0.874491798004417,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,443.9606,750.1338058216545,2357.1736683658028,0.02827,0.00014000000000000001,0.04834751620376687,0.0030879373973064883,588393.0409408329,1849438.536154177,239.76896533856274,753.6424352706508,1.0018668358420222,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,444.01,17761.569655449366,2343.7455536036196,0.00298,0.00010999999999999999,0.04834329399360898,0.0030875429753022855,132177522.1443225,20006558.044977225,53862.0709634566,8152.631640170019,1.0018668358420222,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,488.6792,2192.2821499300553,76.44310925631132,0.00414,3e-05,0.04476576183464097,0.0027690232281579723,12681741.385546762,944824.5959549631,5167.783775691427,385.01409778115857,1.0915878046074439,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,503.467,728.687388835354,57.344187415514796,0.0015240000000000002,2e-05,0.04367918050194034,0.0026798371674540133,11735742.462101532,1258608.0719957622,4782.291141850665,512.8802249371485,0.9273175703549452,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,563.986,2397.5550901533115,88.60935968818374,0.00494,5e-05,0.0396639171884225,0.0023855922276954586,13118216.953091681,973128.0631475906,5345.646680151459,396.5477029941282,1.0594084462012636,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,566.438,642.9083138004911,77.30212136192166,0.0013100000000000002,3e-05,0.0395144140709789,0.0023757058704562714,13315300.297752999,1890201.105713861,5425.95774154564,770.2530993129018,1.0594084462012636,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,586.2648,2043.7684501215374,153.13071463486096,0.00455,4e-05,0.03833934414319196,0.0023005237792273763,12560426.323332474,1242209.257956763,5118.348135017308,506.1977416286728,4.414324975622478,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,656.489,778.3964247232714,80.24868511600975,0.001441,2.2000000000000003e-05,0.034609787058787415,0.002088308647477218,16732725.639675226,2102411.456062431,6818.551605409628,856.7283847035171,1.4145532617422487,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,674.64,629.2698867236525,60.10366706515332,0.00169,3e-05,0.03374209659415374,0.0020437219730176006,11830604.775154393,1434172.2862361262,4820.94734113871,584.4222845297987,1.3202687005031273,09/13/2018 08:39:08,2289.0,2454.0
